store_id,store_name,city,states
1001,Store_1,Jacksonville,Pennsylvania
1002,Store_2,San Antonio,Indiana
1003,Store_3,Indianapolis,North Carolina
1004,Store_4,Chicago,New York
1005,Store_5,New York,Ohio
1006,Store_6,Fort Worth,Colorado
1007,Store_7,New York,Indiana
1008,Store_8,San Jose,Florida
1009,Store_9,Houston,Massachusetts
1010,Store_10,Jacksonville,California
1011,Store_11,Indianapolis,North Carolina
1012,Store_12,San Antonio,Illinois
1013,Store_13,San Antonio,Ohio
1014,Store_14,Dallas,Illinois
1015,Store_15,Boston,California
1016,Store_16,Denver,Massachusetts
1017,Store_17,Columbus,California
1018,Store_18,San Antonio,Texas
1019,Store_19,San Diego,California
1020,Store_20,Fort Worth,Washington
1021,Store_21,Phoenix,Arizona
1022,Store_22,Austin,New York
1023,Store_23,Denver,North Carolina
1024,Store_24,Fort Worth,Texas
1025,Store_25,Jacksonville,New York
1026,Store_26,Boston,Washington
1027,Store_27,San Francisco,California
1028,Store_28,Jacksonville,New York
1029,Store_29,Fort Worth,Indiana
1030,Store_30,San Diego,North Carolina
1031,Store_31,Houston,Illinois
1032,Store_32,Columbus,Colorado
1033,Store_33,San Francisco,Ohio
1034,Store_34,Charlotte,Pennsylvania
1035,Store_35,Columbus,Washington
1036,Store_36,Phoenix,North Carolina
1037,Store_37,Boston,North Carolina
1038,Store_38,Philadelphia,North Carolina
1039,Store_39,Los Angeles,Colorado
1040,Store_40,San Diego,Florida
1041,Store_41,Seattle,Massachusetts
1042,Store_42,Chicago,Ohio
1043,Store_43,San Diego,California
1044,Store_44,Denver,California
1045,Store_45,Seattle,Indiana
1046,Store_46,Denver,New York
1047,Store_47,Los Angeles,Massachusetts
1048,Store_48,San Jose,Pennsylvania
1049,Store_49,New York,Pennsylvania
1050,Store_50,Seattle,California
1051,Store_51,San Francisco,Texas
1052,Store_52,Los Angeles,California
1053,Store_53,Los Angeles,Florida
1054,Store_54,Philadelphia,Indiana
1055,Store_55,Seattle,Texas
1056,Store_56,Fort Worth,Colorado
1057,Store_57,Indianapolis,Arizona
1058,Store_58,Charlotte,California
1059,Store_59,San Francisco,North Carolina
1060,Store_60,Boston,Indiana
1061,Store_61,Seattle,Colorado
1062,Store_62,Austin,California
1063,Store_63,Jacksonville,California
1064,Store_64,Seattle,Indiana
1065,Store_65,Indianapolis,North Carolina
1066,Store_66,Austin,Ohio
1067,Store_67,San Diego,Colorado
1068,Store_68,Jacksonville,Washington
1069,Store_69,Seattle,Indiana
1070,Store_70,Indianapolis,North Carolina
1071,Store_71,Phoenix,North Carolina
1072,Store_72,Fort Worth,Pennsylvania
1073,Store_73,San Francisco,Texas
1074,Store_74,Philadelphia,Florida
1075,Store_75,Austin,Pennsylvania
1076,Store_76,Houston,Washington
1077,Store_77,Charlotte,Ohio
1078,Store_78,Philadelphia,California
1079,Store_79,Charlotte,New York
1080,Store_80,Philadelphia,Indiana
1081,Store_81,San Jose,Arizona
1082,Store_82,Denver,New York
1083,Store_83,New York,Indiana
1084,Store_84,Denver,Illinois
1085,Store_85,Jacksonville,Texas
1086,Store_86,Jacksonville,California
1087,Store_87,Indianapolis,Illinois
1088,Store_88,Charlotte,Pennsylvania
1089,Store_89,Columbus,Ohio
1090,Store_90,Fort Worth,New York
1091,Store_91,Seattle,Washington
1092,Store_92,Fort Worth,New York
1093,Store_93,Jacksonville,California
1094,Store_94,Los Angeles,Ohio
1095,Store_95,Houston,Colorado
1096,Store_96,Chicago,Massachusetts
1097,Store_97,Denver,Arizona
1098,Store_98,Austin,Illinois
1099,Store_99,Austin,Washington
1100,Store_100,Boston,Indiana
